Disperse (c)Imperial College NDT Lab																	
1 mm Titanium Free Plate
S0		A0		S1		S2		S3		S4		S5		S6		A1		A2		A3		A4		A5		A6	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
3.11259	3.37186	2.71658	2.84792	5.1759	5.63748	6.06604	6.62849	7.41663	8.01211	9.87413	9.95341	11.1249	11.2532	13.3212	13.5169	4.37286	4.77058	5.94146	6.50439	7.8174	8.35329	9.20312	9.31959	11.662	11.7198	13.4927	13.5726
3.14318	3.35527	2.76013	2.85266	5.23291	5.61588	6.121	6.59002	7.45364	7.93481	9.89316	9.83692	11.1628	11.1373	13.3343	13.3448	4.40565	4.73566	5.98933	6.46004	7.83831	8.30108	9.24061	9.22967	11.6758	11.5745	13.5239	13.4192
3.17408	3.33947	2.80365	2.85722	5.28878	5.5937	6.17667	6.55341	7.49146	7.86057	9.9125	9.72386	11.2009	11.0249	13.3476	13.1777	4.43809	4.70138	6.03775	6.41756	7.86363	8.2392	9.27871	9.14277	11.6899	11.4334	13.5551	13.2701
3.20528	3.32445	2.84712	2.86163	5.34349	5.57095	6.23306	6.51862	7.53008	7.78926	9.93217	9.61411	11.2393	10.9157	13.3612	13.0153	4.47021	4.66775	6.08665	6.37679	7.8934	8.16835	9.31739	9.05876	11.7043	11.2963	13.5865	13.125
3.23678	3.31015	2.89056	2.86588	5.39701	5.54761	6.2902	6.48556	7.56948	7.72075	9.95218	9.50756	11.278	10.8096	13.3751	12.8575	4.50205	4.63478	6.13598	6.33762	7.92766	8.08926	9.35666	8.97751	11.719	11.1632	13.618	12.9838
3.26857	3.29653	2.93397	2.86998	5.44934	5.5237	6.34808	6.4542	7.60966	7.6549	9.97252	9.40407	11.317	10.7065	13.3893	12.704	4.53364	4.60246	6.18567	6.29991	7.96204	8.01247	9.39648	8.89889	11.7342	11.0337	13.6496	12.8463
3.30065	3.28356	2.97733	2.87393	5.50045	5.49925	6.40673	6.42445	7.65059	7.59159	9.99322	9.30354	11.3561	10.6063	13.4038	12.5548	4.565	4.57082	6.23567	6.26355	7.99656	7.93792	9.43163	8.83245	11.7496	10.9079	13.6813	12.7124
3.33299	3.27122	3.02066	2.87775	5.55037	5.47427	6.46611	6.39624	7.69227	7.5307	10.0143	9.20588	11.3955	10.5088	13.4186	12.4096	4.59618	4.53984	6.28592	6.22843	8.03125	7.86552	9.46191	8.77725	11.7654	10.7856	13.7131	12.582
3.36561	3.25945	3.06396	2.88144	5.59911	5.44881	6.52624	6.3695	7.73467	7.47212	10.0357	9.11097	11.4352	10.4139	13.4338	12.2684	4.6272	4.50953	6.33638	6.19444	8.06612	7.79522	9.48716	8.73259	11.7815	10.6666	13.7449	12.4548
3.39848	3.24825	3.10722	2.885	5.64668	5.4229	6.58707	6.34416	7.77778	7.41574	10.0575	9.01873	11.475	10.3216	13.4492	12.1309	4.65808	4.47989	6.38698	6.16149	8.10121	7.72695	9.50727	8.69789	11.7981	10.5509	13.7768	12.3308
3.4316	3.23757	3.15044	2.88844	5.69312	5.39658	6.6486	6.32013	7.82158	7.36147	10.0768	8.94046	11.5151	10.2317	13.465	11.9971	4.68884	4.45091	6.43768	6.12949	8.13654	7.66067	9.52212	8.67271	11.8149	10.4382	13.8087	12.2099
